Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank credit to bank deposits (%),GFDD.SI.04,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,190.9141,179.8006,201.0479,204.239,230.0768,234.5458,243.29,245.2444,191.2926,162.4828,..,..,..,..,..,50.19893,39.93896,53.30579,37.71582,36.16904,44.40699,48.67676,70.66207,71.33749,80.35229,93.52132,114.3229,130.6293,119.7743,119.7578,121.1445,117.357,104.5328,93.79823,88.91443,82.82039,79.24922,78.13582,75.1609,68.89413,67.0829
Bank credit to bank deposits (%),GFDD.SI.04,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.22432,94.08919,101.0338,111.3278,108.5214,114.3442,120.1138,140.4487,117.9001,106.7326,110.5416,116.1174,116.1437,123.0315,106.8892,106.5985,104.4564,102.6543,105.1218,102.2596,104.3566
Bank credit to bank deposits (%),GFDD.SI.04,Rwanda,RWA,..,..,..,..,13.49558,17.11543,41.43159,34.15488,30.42404,32.16158,42.95803,45.51892,32.60588,44.68497,69.46388,57.29505,44.44888,67.78793,72.84321,50.68222,70.37592,81.12719,87.3187,78.02066,84.23363,90.6853,78.2132,71.01642,78.75419,84.22735,69.16683,51.65797,59.28961,68.14198,66.94814,63.39753,59.82647,67.11843,80.04588,78.93274,78.59193,75.01096,71.27401,70.86633,72.6344,77.38924,91.20049,83.77258,103.5674,92.11725,87.24824,87.65536,103.5353,102.0113,103.0253,112.248,111.8415,116.0548,108.8573,107.2499,105.3181,101.9962
Bank credit to bank deposits (%),GFDD.SI.04,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.02948,48.49684,52.27285,50.93267,49.30517,46.53451,52.42782,47.5666,54.43354,60.32458,66.11655,75.73837,62.25466,64.87243,71.28266,76.59657,85.98268,87.62662,88.55052,95.23862,95.39595,90.14658,93.84583,100.7899,107.7695,101.2387,103.3626,95.15189,93.26685,107.8368,111.8584,105.8804,104.2413,104.043,113.3782,101.3474,98.6543,100.8885,97.8857,97.81008
Bank credit to bank deposits (%),GFDD.SI.04,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.54188,27.26818,29.3916,39.67048,41.49189,73.4668,74.90311,88.85787,91.95659,100.0741,108.3466,105.9967,104.06,104.4419,109.5459,101.3332,105.25,96.70627,92.04726,81.77957,..
Bank credit to bank deposits (%),GFDD.SI.04,São Tomé and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106.3046,112.2591,117.3532,109.4073,91.23931,76.20715,71.2457,80.32694,82.79881,68.38172,72.44411,64.64454,..
Bank credit to bank deposits (%),GFDD.SI.04,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,185.2159,210.4542,220.9975,185.1667,134.1255,105.9612,138.9267,89.61445,72.23432,48.20051,47.95003,86.25134,111.9366,99.44404,101.6564,118.2432,129.9249,137.8525,131.9694,120.194,128.75,136.0361,124.1701,109.6443,107.9703,129.2121,140.2122,148.6157,137.1573,140.0299,168.422,159.3911,150.1757,143.399,136.9965,136.1835,154.032,197.8927,195.3953,185.2667,214.1478,169.382,146.2603,133.8043,132.9527,131.2994,126.9252,140.4283,144.0163,139.3031,..,..,..,..
Bank credit to bank deposits (%),GFDD.SI.04,Senegal,SEN,252.4934,231.3043,212.0957,232.4114,263.5359,256.4083,221.7682,188.6792,200.6852,206.2854,182.5286,191.0914,186.0444,201.3058,191.5711,197.4689,156.4676,161.8364,178.5297,201.9468,220.3829,232.528,205.5996,193.0849,181.4946,187.8249,174.0984,176.0135,182.3219,168.1246,163.026,146.3321,152.2532,176.6458,110.4715,103.1552,99.06752,98.6864,93.55385,91.28609,101.0692,95.97423,88.29114,84.20015,78.64922,91.27079,86.55933,83.71924,94.57041,86.33007,83.12641,92.25888,93.05147,96.60806,91.89613,87.65439,95.34614,101.1528,93.24923,92.21908,85.06997,82.59658
Bank credit to bank deposits (%),GFDD.SI.04,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,308.2697,302.0215,324.5092,348.7074,257.5883,113.7136,108.4961,116.5999,122.4334,102.8696,98.14558,120.5096,111.4915,121.9339,118.0569,117.0678,107.906,100.3975,97.45053,92.74259,92.96193,88.33657,88.30039,82.60668,79.30362
Bank credit to bank deposits (%),GFDD.SI.04,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,57.75076,70.50209,90.5838,93.19853,74.35549,77.89178,95.90163,97.58007,88.9016,68.0119,66.62393,66.80556,59.31624,45.96017,34.09596,26.06412,23.14235,20.40527,22.26536,21.0178,20.52156,18.87882,16.66968,17.06769,17.87815,17.84679,18.93024,19.2671,17.76915,19.64924,20.35877,21.50322,26.05787,29.66072,30.80552,29.9579,41.49903,49.85957,39.23682,42.73899,42.10329,45.86314,39.75175,39.32658,41.31228,40.58073,40.83375,42.31364,45.13959,41.73017,34.67099
Bank credit to bank deposits (%),GFDD.SI.04,Sierra Leone,SLE,60.39824,65.24164,79.71246,109.8901,106.0858,103.4717,91.79012,88.63771,68.54684,63.8588,80.34153,73.18894,69.86124,70.14925,68.25706,74.63194,61.84436,55.50113,54.63909,48.00932,47.74488,53.4794,37.51871,36.92471,24.26391,17.35405,29.22617,25.71468,30.91759,42.64039,32.94577,51.1871,43.73685,51.72221,52.33409,48.06541,43.4423,39.44919,35.03247,22.75787,22.32099,19.92178,23.44563,35.68196,40.2221,32.61402,32.01957,35.20686,42.73384,48.1051,47.76306,46.96915,40.01231,34.06775,30.25475,28.14066,27.33238,27.60905,31.62324,34.49783,26.21218,28.83796
Bank credit to bank deposits (%),GFDD.SI.04,Singapore,SGP,..,..,..,87.5926,92.76139,94.23728,90.89596,75.79653,74.03633,78.23204,85.35726,91.4975,97.54501,123.1155,121.7515,117.8057,118.5527,125.757,133.289,137.0958,137.8636,140.3831,144.7363,153.7423,158.2241,152.8899,133.0299,115.9336,113.0171,108.5032,101.9402,101.096,102.0786,108.3265,108.0594,119.3611,125.1962,127.2033,102.7921,92.05682,99.67045,109.4693,100.655,97.94659,96.29768,92.48829,80.55973,82.86234,85.26715,77.93083,81.45232,87.87272,92.78046,102.2344,106.2894,106.6203,104.1535,106.6472,107.4157,105.0424,94.00211,..
Bank credit to bank deposits (%),GFDD.SI.04,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
