"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","UNIT","FREQUENCY","SCALE","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_MA(10.0.1)","DMA.BM_SA_SI.XDC.A","OBS_VALUE","Dominica","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","PHL.BM_MAI.XDC.A","OBS_VALUE","Philippines","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","2271430.01929695","2497856.39857049","2604946.39670247","2884283.13800025","3081631.57934372","3804385.55902635","4169823.66825971","4588511.62182799","4984885.22007928","5528092.28853076","5821454.31294286","6227663.53263078","8054206.26730572","9055948.21082957","9888717.32466454","11206514.7948901","12486648.9822115","13610340.7227604","14950131.998323","16244474.3691832","17540827.0295275","18912579.2086193","","",""
"IMF.STA:MFS_MA(10.0.1)","VUT.BM_MAI.XDC.A","OBS_VALUE","Vanuatu","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","35581.807","35006.974","34706.399","38144.894","42558.769","45551.964","52820.401","59872.617","60145.682187","56539.282395","57287.640505","56930.294436","53772.244621","58391.210337","65060.516127","71969.107993","78660.690285","88955.523521","95102.448978","94570.772577","102961.035878","110498.630853","117068.520212","128270.20424",""
"IMF.STA:MFS_MA(10.0.1)","SWZ.BM_MAI.XDC.A","OBS_VALUE","Eswatini, Kingdom of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","2280.494","2582.457","2955.424","3162.59066","3469.91272471","4340.2985567","5271.96236787","6082.96252024","7713.2301","8322.73334644","8778.40864797","9657.8384418","11196.93278842","11638.64910082","13219.08042818","16708.0797773397","17343.038568329","18047.643033552","18368.609839595","21205.7861","21263.7624","22033.7812","","",""
"IMF.STA:MFS_MA(10.0.1)","GNQ.BM_MAI.XDC.A","OBS_VALUE","Equatorial Guinea, Republic of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","61431","94848","152139","202251","276950","312244.75","438290.75","572755","710000","908000","908000","1449000","1539000","1295000","1204000","951000","902000","895000","830000","788000","783000","955136","1038477","",""
"IMF.STA:MFS_MA(10.0.1)","KOS.BM_MAI.EUR.A","OBS_VALUE","Kosovo, Republic of","Broad Money","Euro","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","499.677741428243","438.67112168","526.65300294","719.53487986","865.43318776","912.762265","1126.582674","1387.664243","1538.12046","1745.951308","1899.601758","2034.918519","2384.370288","2291.015771","2427.884624","2643.58566246824","2811.619010703828","3037.831977024256","3419.716401","3943.4754229758","4415.998446","4931.705471","5487.801501680547","6167.945224782038",""
"IMF.STA:MFS_MA(10.0.1)","TCD.BM_MAI.XDC.A","OBS_VALUE","Chad","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","151218","183627","184694","190371","253059","379274","400758","506402","482881","605276","691330","784283","852112","1077709","1027048","948039","906657","912559","1119719","1316100","1495511","","","",""
"IMF.STA:MFS_MA(10.0.1)","SYR.BM_SA_SI.XDC.A","OBS_VALUE","Syrian Arab Republic","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","TUR.BM_SA_SI.XDC.A","OBS_VALUE","Türkiye, Republic of","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368220.1683786","433029.9054","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","AFG.BM_MAI.XDC.A","OBS_VALUE","Afghanistan, Islamic Republic of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81247.948057","115693.148892643","152002.07515801","202231.26420968","256726.781225915","311433.12327222","338614.163696319","372186.008444944","402465.467443899","414857.467601458","455204.132993234","473836.889824235","486034.180057016","513759.321225071","575737.944323098","","","","",""
"IMF.STA:MFS_MA(10.0.1)","ERI.BM_MAI.XDC.A","OBS_VALUE","Eritrea, The State of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","12702.856853392","15339.710073666","17650.17081337","19714.07267975","21816.77107567","23073.94395869","25869.04893161","29975.95682151","34688.59763984","40096.76901343","45960.580966","52578.62157467","61236.80823571","69140.31207342","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","MDG.BM_MAI.XDC.A","OBS_VALUE","Madagascar, Republic of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2660033.97115982","3226837.927411","3621700.24212378","3987969.31282578","4456826.08713938","5211743.46329809","5606323.9821828","5810825.62871738","6437135.46977927","7501016.70396184","8887147.17633779","10495624.6768756","11750579.7778377","12570558.928264","13959402.7749822","15486477.1681199","17614966.8418212","19064157.6002416","21723480.4732648",""
"IMF.STA:MFS_MA(10.0.1)","LKA.BM_MAI.XDC.A","OBS_VALUE","Sri Lanka","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","549128.7","622478.7","717834.936","858636.919","1022265.66029723","1204542.05261248","1404015.83311164","1522760.63092958","1806147.32787006","2091402.12072185","3136752.21299733","3689690.61660963","4288473.30822688","4910589.18375388","5747102.79026","6677336.44742422","7839493.79698093","8734015.23354062","9460994.86227686","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","G309.BM_SA_SI.XDC.A","OBS_VALUE","Eastern Caribbean Currency Union (ECCU)","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","BWA.BM_MAI.XDC.A","OBS_VALUE","Botswana","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","12633.71697931","15572.7382968","17801.91407884","19708.452471752","22547.03356719","24567.67842081","32296.61208852","39227.7675711","38716.77396252","42860.10073746","44763.22592649","49236.87600205","53389.8461307","55842.20675346","66941.12357537","70549.9709930963","72466.7764407041","78495.248910466","84767.0830894676","89761.9494801451","94268.3462877535","100665.236914185","110075.698154318","115357.315736432",""
"IMF.STA:MFS_MA(10.0.1)","NAM.BM_MAI.XDC.A","OBS_VALUE","Namibia","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","11514.17","13283.1043861017","13561.35985839","16614.82607537","17464.51941954","22647.90737233","26302.6036914","29801.5464426755","47561.6064923472","52566.0028718652","58708.8721186605","61141.6543416856","68957.8422261877","74366.0717740986","81136.985829752","86048.0507128853","98077.5485540922","104345.105599187","115336.430346804","124652.209493932","133080.12","","","",""
"IMF.STA:MFS_MA(10.0.1)","KOR.BM_SA_SI.XDC.A","OBS_VALUE","Korea, Republic of","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","763846950.630792","871564102.411571","895639800.630662","953841467.092805","1017302307.32408","1144573142.02281","1277716173.23131","1420513900","1564576200","1654675800","1745479000","1840118200","1925002700","2083218200","2252171200","2399741300","2520446400","2713214300","2922134000","3208083500","3625815200","3750603400","3894828900","4160483488",""
"IMF.STA:MFS_MA(10.0.1)","BLR.BM_MAI.XDC.A","OBS_VALUE","Belarus, Republic of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","256.22880363","381.8540259","589.37397825","883.95","1257.05891","1750.58658","2450.60175","3096.11003","3810.70729","5026.01712","11119.53239","16129.37643","19330.67841","23944.27307","32693.87988","33934.9657477752","39848.54478551","43232.9088","48509.6939359353","50800.6585","54351.4444","","","",""
"IMF.STA:MFS_MA(10.0.1)","SRB.BM_MAI.XDC.A","OBS_VALUE","Serbia, Republic of","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244727.7","322876.6","459025.6","636616.3","904691.3","992149.7","1205569.5","1360776.6","1500444","1641803.9","1716882.1","1848190.193","1969508.257","2197051.6","2275425.256","2605852.91","2823545.613","3334749.176","3778049.252","4037175.029","4548226.668","5163236.807",""
"IMF.STA:MFS_MA(10.0.1)","NOR.BM_MAI.XDC.A","OBS_VALUE","Norway","Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","843455","906086.879059553","925542.138240144","988939.473830075","1093019.17479485","1167090","1378369","1420916","1433685","1526429","1624446","1697474","1812037","1922808","1820391","2024976","2148134","2259470","2349250","2634890","2911604","3073102","3086411","3192854",""
"IMF.STA:MFS_MA(10.0.1)","MMR.BMM5_SI.XDC.A","OBS_VALUE","Myanmar","Broad Money, M5","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","1153958","1564611","1576084","2081861","2650387","3374238","4383844","5036695","6579807","9376207","12245452","16232450.79","21333522.41","25804365.23","33719316.86","39602957.88","47738364.75","54693994.52","63195862.07","74683212.24","","","","",""
"IMF.STA:MFS_MA(10.0.1)","THA.BMM5_SI.XDC.A","OBS_VALUE","Thailand","Broad Money, M5","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","5354371","5858631","5964477","6203418","6561477","6647163","7062321","7471427","7926921","8573377","9109468","9944331","10617007","11778816","13559887","14966786","16062482","16809042","17554630","18295749","19212873","20109643","20841010","22958439.1384213","24061617.2385679","24994190.6391522","25481697.5569748","26340780.7515539",""
"IMF.STA:MFS_MA(10.0.1)","FJI.BMM5_SI.XDC.A","OBS_VALUE","Fiji, Republic of","Broad Money, M5","Domestic currency","Annual","Millions","148.87","193.35","199.54","236.15","255.41","305.9","342.81","364.3","395.32","443.72","489.98","502.49","765.11","781.16","1012.46","1085.11","1281.22","1163.59","1327.63","1413.45","1455.5","1524.38","1488.36","1358.54","1353.83","1546.11","1513.86","1672.80026668","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","SYR.BMM5_SI.XDC.A","OBS_VALUE","Syrian Arab Republic","Broad Money, M5","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","730393","875427","946756","1073550.479","1200692.182","1310693.912","1310693.912","1656087.13433482","1798734.45585446","2041039.89194663","1881637.10050475","","","","","","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","BDI.BM_SA_SI.XDC.A","OBS_VALUE","Burundi","Broad Money, Seasonally adjusted (SA)","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","","","",""
"IMF.STA:MFS_MA(10.0.1)","JAM.BMM5_SI.XDC.A","OBS_VALUE","Jamaica","Broad Money, M5","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320953.554","335068.914","400446.586","439042.65","483077.35","485362.664","530787.223","553241.303","600259.947","631261.873","605291.826","712933.038","872427.371","1008637.514","","718529.8","818748.1","941251.99813355","1092451.91870995","1276153.09424873","1369297.09911142","1513664.5452273","1620520.15724357",""
"IMF.STA:MFS_MA(10.0.1)","TLS.BMM5_SI.USD.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Broad Money, M5","US dollar","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.67283284","61.62581466","65.88747438","77.94369541","99.89395364","143.7143531","192.65817461","268.3556146","295.02500318","322.42781114","406.94686091","500.15391893","599.82212122","642.3752","733.879","822.896","848.58658253","788.263689816992","871.92728807817","1118.57544696977","1214.82994009118","1247.74057482859","1338.8639650131",""
