Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Belarus,BLR,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,148.2483,161.7743,116.1581,79.51144,83.17686,83.27393,73.19592,69.119,68.02857,75.81636,77.87609,89.4357,91.5305
Belgium,BEL,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.65683,3.067168,-9.659908,-6.014536,-10.98267,-14.9635,30.98533,29.321,23.98908,13.63335,-27.07071,-30.35768,19.57645,-3.780365,3.173774,15.98111,18.03402,13.83512,-4.759862,6.62075,-4.866691,-4.055362,-15.98029,17.81941
Belgium,BEL,Bank credit to bank deposits (%),GFDD.SI.04,50.10061,50.98543,55.43131,60.4488,63.19489,61.9559,65.50681,68.07676,69.25768,56.07452,58.80325,57.53337,59.14886,59.94727,61.63317,63.81346,63.70308,69.51987,71.54612,78.44071,83.07139,80.76191,76.10638,72.99744,75.03768,71.99253,70.27738,71.00418,79.36391,88.99236,89.18043,91.9558,111.3464,103.0776,102.7951,100.1642,95.69832,94.36273,..,..,..,81.73935,77.43993,71.54395,67.77697,67.67215,69.44154,73.95049,67.44455,60.36342,57.69367,56.58163,54.50303,54.65023,54.31535,55.08627,57.05626,58.41023,59.17992,60.3269,58.32838,58.83998
Belize,BLZ,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.61901,86.5264,72.61916,89.26385,85.35643,91.92358,103.0861,92.54862,91.2399,90.19991,75.96136,75.51328,92.82703,94.71024,94.40507,105.1558,103.4623,104.2613,100.5234,90.51669,91.80952,92.15354,98.37994,92.34988,85.10011,86.95452,96.71034,104.4083,102.5493,100.694,98.1012,97.95722,94.64729,91.8998,89.9917,85.62078,78.98288,80.42799,78.23484,77.74592,75.61404,76.73576,76.91363,77.13693,72.52572,65.63089
Benin,BEN,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,Bank credit to bank deposits (%),GFDD.SI.04,172.6708,202.5316,167.5325,193.0435,214.0969,190.7173,155.4744,168.6347,139.7769,154.7966,150.4779,128.2495,142.6517,162.3741,144.2954,145.8354,162.9442,162.069,157.6923,253.373,202.381,193.3333,187.9104,185.6275,144.856,164.951,165.6085,168.9472,202.0848,173.1783,115.9898,87.06486,57.46712,47.07031,43.48908,41.51432,49.89553,34.61353,48.44218,75.37453,74.271,63.43969,68.4678,82.61496,85.71608,91.36195,89.79832,84.24688,85.73869,83.20476,82.75661,85.26766,87.28165,84.95503,78.07078,68.46378,78.50858,77.42525,78.35843,83.57119,68.64012,62.48408
Bermuda,BMU,"Stock market return (%, year-on-year)",GFDD.OM.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-6.395106,-7.401406,18.97795,32.97326,-2.308114,12.30135,48.43631,0.9271688,-0.160939,27.24288,10.07293,30.72421,11.32916,-10.98669,-47.12429,-40.48964,-18.38422,-8.278108,7.647371,19.33587,-6.056881,5.68228,50.58277,25.79726,-15.4254,-13.46074,34.36782
Bermuda,BMU,Bank credit to bank deposits (%),GFDD.SI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
