Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
American Samoa,ASM,Net foreign assets (current LCU),FM.AST.NFRG.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..,..,..
American Samoa,ASM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Net foreign assets (current LCU),FM.AST.NFRG.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,33075100,37328600,43809600,52817200,64679900,75943900,91389700,115960200,141930500,166030700,192360700,215833200,248204100,282616900,318914300,354366200,405699900,453657900,505070300,565962200,630395100,691276900,744521400,770274000,819228800,883347000,931789600,1038925600,1088194100,1163747900,1551090000,1728690000,1865830000,2092490000,2331570000,2540880000,2755130000,2887770000,2789260000,2644840000,2602310000,2607220000,2481850000,2404540000,2462690000,2514510000,2616860000,2655760000,2725270000,2818420000,2531090000,2810970000,3210310000,3500580000,3736440000,3983230000
Andorra,AND,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.0104704752282,15.5264308537474,15.0218009386111,11.643445125878,14.2213228054275,16.045169836446,..
Angola,AGO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.2749280174857,18.3180075029506,14.6302579552929,13.1109176010975,13.3956028675861,11.3765590843673,8.84430174641055,7.02506194435415,7.64573374416092,7.16892640926562,6.5808829663827
Angola,AGO,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.78521241666833,3.17745379075588,5.16969314156703,3.52275914782064,2.52098260701182,1.96653982570438,3.61837428065332,3.03311210851373,3.48172606085531,3.83757780677995,3.75414672068892,5.738421373463,8.73470187048722,10.7640890394318,19.7878758429979,17.1489083790843,16.7260465616729,17.841317732353,18.9745518253042,17.6209947985228,21.1900160166489,17.3129771733765,13.7002735242842,12.1426841295604,12.4490751974032,10.3002084159181,7.88347704577148,6.13563622038058,6.60044175531962,6.20587465998121,5.69796591131784
Angola,AGO,Net foreign assets (current LCU),FM.AST.NFRG.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-7611172.12739907,135920959.131068,200101483.363888,168039753.998299,5768914826.14511,30520014540.0519,40408961009.76,78884641196.01,106807128023.831,151393646631.899,386768022041.12,891272109965.81,1022718830546.56,1509121580068.86,1181781570620.78,1813676669363.24,3042999769950.89,3296015596177.43,3223900341441.62,3156956003479.34,3599546498114.27,3846414877792.66,2626426780518.91,4497158825042.26,7712501355612.24,8973082034602.83,8423022605473.07,8332138501736.46,14370378729987.4,16422278366670.5,16783091153643.6
Angola,AGO,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,177.428800749999,166.059351469999,166.059351469999,173.05593188,183.441471,226.002528939999,211.596135299999,241.86945061,262.375976449999,305.216883259999,335.9646477,700,3800,29400,678100,15015300,835493000,1751785000,2555800000,17171000000,91666100000,197110800000,753573719700,1517650932900,2255447871700,3608095308900,4713881568300,5602449613100,7412577530300,6481521799600,8781308453800,11793661418100,13706611875100,14840760473700,16165667821100,15807317332600,19061544001600,23545238499100,29193781124400,34735034831000,38243646975400,52423748376100,64097477461400,77499867642600,104011087808600,129255156031500
Angola,AGO,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,228335521.177058,555691254.40397,392514285.939726,202442614.084957,491400189.57731,1198212373.02401,731866198.100655,375545950.307129,634199422.3308,1379588147.35472,3196850749.33725,8149079645.64961,11196800894.0338,17869411576.4837,13664098153.6474,19678661657.2159,27039761554.085,31161778888.6797,31500815461.6599,27032344084.4907,23790543425.2351,23672191989.4347,17455327770.6619,15410405365.47,16334853784.0603,13781988139.5961,14468113825.809,13654715740.4529,13942114198.8828,14242892504.625,13536065181.9187
