"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_IR(9.0.0)","SYC.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Seychelles","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.75","15.02083333333333","15.4","15.30833333333333","14.68","14.39666666666667","14.15166666666667","13.25","12.4","10.77166666666667","8.860833333333332","8.3725","8.241666666666668","8.19","7.250833333333332","6.166666666666668","6","6.335333333333332","7.127270171957672","7.258933531746032","7.784958333333332","8.242708333333332","8.21875","9","","5.8125","5.5","5.055555555555555","5.645833333333332","6.25","6.3875","7.412202380952382","8.089451058201058","6.580430004936585","5.949030932615702","5.89174959059449","5.821959005376342"
"IMF.STA:MFS_IR(9.0.0)","CAN.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Canada","Government bonds, Rate, Percent per annum","Annual","Units","2.8575","3.2325","3.563333333333335","3.705","3.175833333333332","3.136666666666668","3.625","4.110833333333332","4.149166666666665","5.075","5.184999999999998","5.045833333333332","5.113333333333335","5.09","5.184166666666668","5.208333333333335","5.69","5.936666666666668","6.748333333333335","7.584166666666668","7.9125","6.9475","7.231666666666665","7.560833333333335","8.903333333333332","9.035","9.175833333333332","8.700000000000002","9.27","10.21333333333333","12.48416666666667","15.21916666666667","14.25583333333334","11.79166666666667","12.75083333333333","11.04416666666667","9.52","9.95","10.22416666666667","9.920000000000002","10.85166666666667","9.764166666666668","8.765","7.845","8.631666666666665","8.280833333333332","7.503333333333335","6.424166666666665","5.465","5.690833333333332","5.885833333333335","5.7825","5.661666666666665","5.278333333333332","5.080833333333335","4.385833333333335","4.299166666666668","4.335","4.04","3.890833333333335","3.6575","3.214166666666668","2.331666666666667","2.718333333333332","2.598333333333332","2.023333333333334","1.804166666666667","2.133333333333334","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","BEN.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Benin","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","BWA.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Botswana","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.53888888888889","10.06666666666667","9.49","11.59639166666667","10.73444166666667","10.18916666666667","8.628958333333335","7.687291666666665","7.435","5.665","5.013","4.211166666666665","3.666","5.763166666666665","5.4775","5.273833333333332","5.089","5.086541666666668","7.409416666666668","8.601","8.769166666666668","8.732666666666668",""
"IMF.STA:MFS_IR(9.0.0)","MLI.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Mali","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25","","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","ROU.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Romania","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.992222222222223","7.23","7.138333333333332","7.695833333333332","9.694166666666668","7.336666666666668","6.650833333333335","5.685833333333332","4.248333333333332","2.210416666666667","1.274166666666666","0.6458333333333332","0.5835239166666668","2.245833333333333","1.565","2.5825","1.462274666666666","4.547761166666665","6.324620000000002","6.003923333333332","5.678199083333335"
"IMF.STA:MFS_IR(9.0.0)","NPL.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Nepal","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.79365079365079","13","13","13","13","13","13","13","13.16666666666667","13.54166666666667","12.96666666666667","13.325","12.5","9","9","9","9","9","8.75","8.5","8.5","8.25","7.5","6.625","6.5","6.125","6","6","6","6","6","6","6","6","6","6","6","6","7.666666666666668","8","8.333333333333332","8.541666666666668","9","8.75","7.208333333333332"
"IMF.STA:MFS_IR(9.0.0)","FJI.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Fiji, Republic of","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.91","5.86875","5.108472222222222","4.764380952380952","4.803934373592572","8.76734115507589","7.416666666666667","6.120804649758455","9.459687549816675","","","6.132959102868735","5.051666666666668","4.57750487987988","5.174583333333332","5.820544051627382","6.143333333333332","6","6","5.317777777777777","4.16111111111111","3.95","3.9","3.9",""
"IMF.STA:MFS_IR(9.0.0)","KGZ.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Kyrgyz Republic","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.13751350841179","16.6070157260933","18.4446884735202","14.9402394289845","14.8375","14.4087481345184","15.9804722021549","16.5304396583545","13.0174704362818","11.8081481480394","10.3038788244549","11.010380869755","11.0665760378899","14.9644559363757","15.589843045872","15.5513739152389",""
"IMF.STA:MFS_IR(9.0.0)","PHL.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Philippines","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.25","13.921875","13.98958333333333","14.61458333333333","17.98458333333334","12.30816666666667","12.76725","13.32654166666667","8.687666666666667","8.715166666666667","10.26233333333333","8.66","7.38375","5.34025","","","","","","","2.727","","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","VEN.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Venezuela, República Bolivariana de","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1225","21.0316666666667","22.1166666666667","38.5083333333333","32.1525","15.5682804978815","12.9275","7.80944444444444","9.55","14.47","12.83875","15.5283333333333","17.5154166666667","16.7575","15.2649646825397","15.1081888888889","15.3866375","14.8043442669875","12.9466666666667","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","AGO.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Angola","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.196666666666667","8.166666666666665","7.77","7.751666666666668","7.583333333333335","5.625","","","","","15","18.625","17.25"
"IMF.STA:MFS_IR(9.0.0)","LKA.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Sri Lanka","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.19","9.13","8.55","12.0833333333333","10.9683333333333","8.79","8.905","12.0583333333333","11.1504166666667","10.5425","10.46375","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","ARM.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Armenia, Republic of","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209.6","114.2288888888889","","","","","25.5117383157638","23.15033333333333","17.44159009965342","15.71235297619047","8.208616321044545","5.1832375","5.857064915966388","6.5621625","8.321712311195445","11.85995425517276","13.88201287261446","13.79802781302878","14.30020476976468","13.20341388275963","9.822525","14.41004725444702","12.36648268020004","8.77250490117572","8.1","7.6412125","6.778882851759535","8.940870833333332","11.0789125","11.22069821180292","9.93676210532491","9.233988284655998"
"IMF.STA:MFS_IR(9.0.0)","NER.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Niger","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25","6","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","BFA.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Burkina Faso","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","6.5","6.25","6","","","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","JPN.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Japan","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.770833333333334","1.7475","1.329583333333334","1.25","1.011666666666667","1.499166666666666","1.359583333333333","1.73125","1.652916666666667","1.449166666666666","1.3425","1.150833333333333","1.118333333333333","0.8391666666666668","0.7004166666666665","0.52625","0.3466666666666668","-0.06625000000000002","0.045","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","PNG.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Papua New Guinea","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.995","8.17","8.421666666666665","9.238333333333335","11.66","10.86250416666666","8.917875","9.060833333333332","8.131666666666668","10.14833333333333","10.79041666666667","11.08916666666666","10.948375","11.13666666666666","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","BGD.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Bangladesh","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4475","12.14833333333333","11.72166666666667","10.14333333333334","8.86","9.4925","11.59666666666666","12.125","11.487275","9.438333333333335","7.018333333333332","6.8725","7.21","8.502916666666668","7.671666666666668","6.155833333333332","7.81","9.229166666666668","12.36833333333333","11.08245"
"IMF.STA:MFS_IR(9.0.0)","MNG.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Mongolia","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.86208333333333","13.0575","15.43075","16.3303333333333","13.8433333333333","","","","","","","",""
"IMF.STA:MFS_IR(9.0.0)","RUS.S13BOND_RT_PT_A_PT.A","OBS_VALUE","Russian Federation","Government bonds, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.843333333333333","6.735","6.522500000000002","7.534166666666668","11.09166666666666","7.568333333333332","7.706666666666667","","","","","","7.95722222222222","8.187500000000002","7.699166666666668","6.584166666666668","7.534999999999998","10.14833333333334","11.575","13.63333333333334",""
