Country Name,Country Code,Series Name,Series Code,1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Korea, Dem. People's Rep.",PRK,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,Broad money (current LCU),FM.LBL.BMNY.CN,704569000000,897782000000,1084920000000,1451786000000,1980463000000,2456500000000,3150010000000,4204780000000,5874320000000,7928630000000,9877840000000,12534450000000,15671190000000,19904200000000,22938130000000,24705580000000,28565330000000,33833070000000,40279550000000,48939080000000,58637070000000,68707500000000,83745800000000,96258700000000,112219100000000,133178700000000,153945500000000,178311600000000,203531500000000,258538300000000,329317400000000,413048900000000,764979288000000,872075556000000,898069427000000,954722520159534,1.02144864397758E+15,1.149262113E+15,1.273611866E+15,1.425887495E+15,1.566849999E+15,1.660530025E+15,1.751458357E+15,1.8356415984E+15,1.9207950174E+15,2.0772340344E+15,2.2473750434E+15,2.407459074E+15,2.530353622E+15,2.700362359E+15,2.913609579E+15,3.199835655E+15,3.613687601E+15,3.75823545820157E+15,3.904552627E+15,4.160355825E+15,..
"Korea, Rep.",KOR,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,4.42196249837616,4.73954536823097,7.13811332978356,6.97301972628074,5.54209553784892,20.3978484597591,8.1665796551817,4.3763721851077,4.05734826931791,5.79661780992845,6.56150964023133,6.65465033318364,8.2123636366225,9.24200398240503,12.0063205453822,10.7594705771682,11.0487429248939,11.146984428638,13.0982842613545,5.36189825121559,5.69216810443366,6.50817554578947,8.26625000254989,7.15722551162213,6.86851392732666,6.43379063560651,6.08454608191164,6.48913903122922,10.4545384388687,3.54092824830423,3.73764846560924,3.79446096099079,5.75988369774694,5.73717985834128,4.8475562254739,4.18476553341103,4.73704705749279,5.03319880529578,5.22056803689238,6.41968058272577,4.53726335455961,4.91495897473995,5.14899980744665,4.97083871604885,5.07436703550676,5.437687523302,5.41890681957631,5.60313371171794,5.75422150226588,6.0893541944551,6.11562626577418,6.11350850692281,6.81864596266228,6.87371531341085,7.10444964740687,7.29645243280977,..
"Korea, Rep.",KOR,Broad money growth (annual %),FM.LBL.BMNY.ZG,60.9847325104761,27.4228641907322,20.844481176945,33.8150278361538,36.4156287496918,24.0366520354079,28.2316303684103,33.4846556042679,39.7057634406556,34.9710264336979,24.584449015782,26.8946449831137,25.024951234398,27.0114139385714,15.2426623526693,7.70529245409281,15.6229888146726,18.4410262370503,19.0537837683663,21.4985768212406,19.8164534355775,17.1741698553492,21.8874213149947,14.9415254257527,16.5807350400535,18.6773909254307,15.5931841953706,15.8277442341608,14.1437236837087,27.0261851359618,27.3766401341697,25.4257746478018,85.2030807974552,13.9998911970542,2.98069024193587,6.30831998688382,6.98905937684345,12.5129608596578,10.8199645314506,11.9562036963622,9.88594854042114,5.97887647571808,5.4758619616047,4.8064654842376,4.63889133228525,8.14449306578048,8.19074818640474,7.1231560157317,5.10474089994852,6.71877383152575,7.89698535417928,9.82376218361547,12.9335375506965,4.00000977288601,3.8932411347225,6.55140863593743,..
"Korea, Rep.",KOR,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,31.5737844499216,31.8204437513291,31.2360003454928,33.6209443968412,35.3439518863547,30.5793457152816,29.4146045382389,28.6047239380663,31.0692223068461,31.0109437091273,29.975904784448,31.0079063116908,30.9757510110334,34.0655014958274,32.9933475731228,30.7299386286348,31.641868914563,31.9951108568294,32.1649710927269,32.5608664786431,34.3492587359497,33.2381770632269,33.503023824545,33.6054928581254,34.4602665824857,34.5921756192133,34.0446465633363,35.1167185669687,36.312359277933,46.4339768051296,53.7161785788328,61.1260874493846,104.402234350193,107.236635255121,103.451038035937,101.25542525263,102.640051325377,109.907483881999,112.257867210299,118.530308953759,124.818221460832,120.375348632748,120.90900585375,121.995959018634,122.270565283854,126.777742118816,129.101908769422,131.337923519495,130.819422718214,134.548912255736,142.78240309698,155.447545782261,162.638580522216,161.729295899876,162.102920744302,162.713643122999,..
Kuwait,KWT,Broad money (current LCU),FM.LBL.BMNY.CN,379100000,365900000,418800000,493600000,536300000,684600000,891100000,1220100000,1568700000,1950400000,2262700000,2857600000,4041600000,4550300000,4898100000,5169500000,5089800000,5110500000,5240300000,5599700000,5867200000,..,6016700000,6058500000,6396500000,6742900000,7374800000,7330900000,7616000000,7556500000,7678000000,8163200000,9208521900,9646309000,10401246100,11685218000,13086248500,15920579100,18959946200,21950203500,24895757500,25634183600,27746637800,29540683400,32423720500,33620427800,34239348800,35416733600,36761122400,38252640600,37691129000,34920992500,36245471300,38584302700,38973279100,40655303600,..
Kuwait,KWT,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,5.81258090900422,4.89937483925343,3.89617731394661,3.49030584509832,2.58230739350596,1.22735530967168,1.49816876973646,1.70085858102283,1.66017069098699,2.3089683927847,1.96337977709004,1.94868025684795,2.85561706908594,2.23439987601351,2.72765895732049,3.24976113736657,2.68586036890919,2.7082395454806,3.50142775947016,6.76809912754468,4.84744022081412,..,4.91461548296812,3.44560225841616,4.06861295935397,5.07495972213078,5.43968252008972,5.49913303682407,5.99417476650281,5.30073879475734,4.53594007166049,3.42094546421143,2.83287493620781,3.14939787433376,4.04134451502101,4.23903928778011,4.40880143468647,3.86925909243557,3.55284097936721,4.2260981776451,3.75662406078706,3.60619129326552,3.38723661833615,3.18716070795293,3.52769604144963,3.35876123544358,3.67586125859792,3.45414386973218,3.28502739807133,3.14486383832543,2.84285203078784,2.15489535972887,2.42625177831638,2.40155214010269,2.41113421838572,2.6131775881746,..
Kuwait,KWT,Broad money growth (annual %),FM.LBL.BMNY.ZG,-1.88923395445135,-3.48193088894751,14.4575020497404,17.8605539637058,8.65072933549433,27.6524333395488,30.1635991820041,36.9206598586017,28.5714285714286,24.3322496334545,16.0121000820345,26.2915985327264,41.4333706606943,12.5865993665875,7.64345208008263,5.54092403176742,-1.54173517748332,0.406695744430037,2.53986889736816,6.85838597026888,4.77704162723003,..,..,0.694732993169013,5.57893868119171,5.41546158055186,9.37133874149105,-0.595270380213701,3.88901771951602,-0.78125,1.60788724938794,6.31935399843709,12.8052957173657,4.7541516950728,7.82617579428567,12.3444045805243,11.9897677561514,21.6588474534929,19.0908074443096,15.7714440139076,13.4192559991528,2.96607203054577,8.24077034386225,6.46581258937254,9.75954774289345,3.69083893379848,1.84090756870143,3.43868923114566,3.79591414381591,4.05732497438653,-1.46790284590183,-7.34957156629614,3.79278681727044,6.45275483009101,1.00812084910375,4.31584033687327,..
