"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_FMP(3.0.0)","PER.EQTS.EOP_IX.A","OBS_VALUE","Peru","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0014545703455888","0.110205094418728","0.427814807526118","1.59553532466866","3.98068843958827","6.05323727464855","5.31932097233749","6.11355916250973","7.66947883600147","5.71509245077991","7.85284026250717","5.16975691562636","5.03302730314102","5.95505377632131","10.417461689184","15.8735978369683","20.544736594423","55.1205154312801","74.9736466078564","30.1552539936512","60.6093794118402","100","83.3114149546944","88.2554139963892","66.9222147116956","63.2922060698365","42.1337691340173","66.5979310875908","85.4533553515354","82.783876515534","87.8138235520608","89.0802409452996","90.3191070649337","91.2543102341858","","",""
"IMF.STA:MFS_FMP(3.0.0)","SVK.EQTS.PA_IX.A","OBS_VALUE","Slovak Republic","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2526460298481","51.6606881891856","72.6787269533383","94.1665559541207","193.273474750159","178.576753317686","186.942931372983","190.920464106993","140.809751561047","100","100.997150997151","87.1422139556854","84.4858509366281","93.5126138494014","114.896004015175","139.647638870437","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","NLD.EQTS.PA_IX.A","OBS_VALUE","Netherlands, The","Equities","Period average, Index","Annual","Units","","","","","","","","6.49118163867917","6.42777571302663","9.31010341664852","12.181863465995","13.3680826584113","11.5425203823318","12.0682611825342","12.8819705617418","11.9018206276962","9.62184921777353","10.1053194008742","13.1775892035161","14.6033954968854","13.4133397865039","12.576266702083","14.7244181115005","15.6647446171208","12.0532761174964","12.223636605186","12.7895039581649","12.2484355728018","12.301415185532","12.1514941537975","11.3838533821003","12.0274993154928","12.2191277019524","18.1736694677871","23.0613134142546","29.3930905695612","35.8618113912232","32.0846560846561","29.796451914099","39.9726112667289","35.9813258636788","36.5913476501712","39.8680361033302","45.5798319327731","55.7310924369748","59.448490507314","75.3937130407719","112.649859943978","148.083411142235","168.348583877996","198.657952069717","162.641767818238","125.398070339247","90.8857765328354","101.375661375661","114.94304388422","138.2558356676","156.111297852474","117.214067849362","81.4090258325552","100","97.8853408029879","96.0109554933084","109.061935885465","121.214565826331","139.5453470277","132.109554933084","155.817740429505","162.081294740118","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","FIN.EQTS.PA_IX.A","OBS_VALUE","Finland","Equities","Period average, Index","Annual","Units","","","","","","","","0.769368177397725","0.687075825655694","0.778511772035729","0.956158753574083","0.94570893113065","0.930034197465501","0.980977081877235","1.00057049895867","0.950933842352366","0.886928679886341","0.79313563070812","1.00474453519293","1.34363699125446","1.55630659199971","1.75810405605355","2.34016113044023","3.63606678987662","3.52469368225429","3.18182361520351","2.85486399211241","2.33750938978514","2.26166960697119","2.76019685063117","2.93786347470225","3.02590126452588","4.04867763622325","6.17351742525783","8.67331334331773","7.45033055196382","11.3635042405952","18.5893383953185","24.6815181119118","26.3659017265561","19.8957416453064","14.5426077283939","13.7147313440054","23.1403975431639","35.7162668665667","39.6007399526043","34.9659766890748","46.4075905595589","65.6675170479277","113.044687333752","216.045001692702","124.209464622527","96.225568264255","82.2715577695024","88.4986651284695","103.746952678012","129.577798061248","161.183924166949","122.518982444262","82.2689461720752","100","94.1577598297625","80.6233979784302","93.8349373700247","109.122454901581","123.219035643469","118.842191807322","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","SWE.EQTS.EOP_IX.A","OBS_VALUE","Sweden","Equities","End-of-period (EoP), Index","Annual","Units","","","","","","","","0.468988247495316","0.547152955411202","0.78164707915886","0.78164707915886","0.78164707915886","0.719115312826151","0.8910776702411","1.0317741444897","1.10993885240558","0.859811787074746","0.8910776702411","1.18810356032147","1.21936944348782","0.937976494990632","1.14120473557194","1.26626826823735","1.25063532665418","1.235002385071","1.59456004148407","1.61019298306725","1.36006591773642","1.5789270999009","1.56329415831772","1.9228518147308","3.00152478397002","4.06456481162607","6.72216488076619","5.97178368477369","7.50381195992505","11.3338826478035","10.4428049775624","15.8518027653417","19.7287722779696","13.6006591773642","14.3447871967234","14.2666224888075","21.929890452881","22.992930480537","27.1340967059207","37.4423400444999","46.7194877082542","51.6606067184023","85.7138980843328","75.2537038042003","62.7964400065122","40.5844684430455","52.6862755738861","61.9769902859934","82.1918923319043","101.609051934661","95.4686058501112","55.4132522928312","81.2666196342324","100","83.3125305258588","93.3250122103435","114.956314104303","128.585770879687","137.062462690617","145.048027351169","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","FRA.EQTS.PA_IX.A","OBS_VALUE","France","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3184002237031","47.0694461639607","49.0517742206322","47.1643234403038","49.4550082038715","53.8210527851183","54.9236036697561","49.9324630327714","55.5149690415914","73.5731142479832","98.67692559736","121.283710227588","167.176584777371","133.772156856885","101.137597887912","83.1263465591412","98.3282788448266","113.821847023766","136.351008834282","152.868237676049","115.836905183737","89.1623824028734","100","95.9161458311098","89.3780631107544","105.407898022959","115.670230690306","128.911402990108","117.897100646491","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","EST.EQTS.PA_IX.A","OBS_VALUE","Estonia, Republic of","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.07573151874402","29.53896399562245","18.96202209495681","24.97838991358971","22.89029346440676","30.60027627235624","42.72433954458626","60.4441846167873","104.0866183687957","115.6370139816395","152.7085312271382","91.00525087264089","57.98657871800855","100","110.6024979212613","110.1167671569294","140.8311520291495","135.5460750120574","148.5616272696177","170.3439471850084","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","BEL.EQTS.PA_IX.A","OBS_VALUE","Belgium","Equities","Period average, Index","Annual","Units","","","","","","","","15.5290106578032","13.7162856782931","15.6136044901804","15.674028656164","16.858342309444","16.6649849782962","16.3628641483779","17.1967176389525","15.9398949864922","13.3054013496042","12.9911956864891","14.1392548401788","15.2993988270653","14.5017998360808","16.1695068172301","18.0184862963304","21.3901547582192","17.3900749701003","16.4716276471485","15.3235684934587","14.0546610078017","14.3809515041135","15.7102831557542","15.3356533266555","12.3869540266524","14.767666166409","18.4777099578063","23.7346123983856","26.2845122028965","37.8738672385644","44.6292889955387","44.0975563348824","50.9738264238241","47.0825101344757","45.8498571484089","45.1856100825166","50.2351187137539","56.8448894778995","55.7586475423736","68.1769592791345","89.7645747514459","121.623584396205","125.84678608045","116.099859907074","109.755600456019","94.3469765233475","77.1819734058234","99.9608678978496","124.883158064996","152.706115304043","172.61202868644","122.353006780289","83.5561363049382","100","94.6887302154613","89.5558375965585","105.258147955869","121.833267243561","141.351805424753","135.235947009916","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","LVA.EQTS.PA_IX.A","OBS_VALUE","Latvia, Republic of","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124.778661324889","65.4322331802172","26.116046612123","36.0794238243071","49.5052267701028","56.1073534532658","68.6645158463493","93.351520756031","140.294442535508","170.449204742259","190.770766984985","132.163373175012","71.8443937615449","100","112.784082392253","106.288036196507","119.584072245424","120.786932728828","132.026852199902","181.552372628467","","","","","","","","",""
"IMF.STA:MFS_FMP(3.0.0)","HRV.EQTS.PA_IX.A","OBS_VALUE","Croatia, Republic of","Equities","Period average, Index","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7974831161102","34.2551225179184","42.7336293071632","48.0716170046106","58.0879796985763","56.8108999358239","63.3194325860612","95.0900947653695","135.613149343833","230.216722460992","171.296769031445","93.2886613716363","100","104.579177047861","87.0780331644847","93.1431167588108","90.0159354238338","87.0367655595267","88.763691484126","","","","","","","","",""
