"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_DC(8.0.0)","LBR.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Liberia","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","","","","","","","2801.714200305","3856.81161616501","5278.30586163497","7535.99327644002","10954.483556025","13135.2016181176","16247.43122104","17008.7936214033","19481.506401028","16930.902615","25887.114622","33038.7231758374","42315.4012618812","40900.925159416","40249.437435296","46878.661756412","61790.7039918","69658.286457436",""
"IMF.STA:MFS_DC(8.0.0)","GAB.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Gabon","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","226412","244605","237072","263292","302364","350553","348566","360905","393408","465067","540012","731987","734554","779387","742229","718150","565186","782406","654673","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","MWI.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Malawi","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","280393.8635487126","221764.2228410845","362679.4630627577","455868.4548418122","494377.6175627031","591561.5673066668","786297.1747110564","1017872.682248738","1302601.391111303","1998368.324745141",""
"IMF.STA:MFS_DC(8.0.0)","GNQ.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Equatorial Guinea, Republic of","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","16425","25570","40875","36751","44918","57627","77776","63057","57649","77894","79125","164854","167323","170548","191684","198284","199006","210597","202324","214480","107001","197395","199124","",""
"IMF.STA:MFS_DC(8.0.0)","GMB.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Gambia, The","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","1241.9","1445.751","1706.323","2288.689","2766.301","3532.839","3975.79","4583.629","5940.761","7096.118","7913.636","8254.865","8493.356","9242.5","","","13085.543","15119.037","17765.731","21908.832","25599.624","26988.332","28226.43","30426.679",""
"IMF.STA:MFS_DC(8.0.0)","MDG.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Madagascar, Republic of","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","","","","","","577239.45360224","769382.114256155","911845.531373456","1115869.056676259","1240781.404302879","1372684.56548479","1629875.78898503","1695529.075999197","1874254.33131096","2304797.25702999","2588017.913950571","2973918.053290638","3505120.685019759","3744280.59954839","4175562.576792828","4784407.57902159","5183431.68557739","5754163.03845545","6397282.04505921",""
"IMF.STA:MFS_DC(8.0.0)","LSO.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Lesotho, Kingdom of","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","700.438","727.242","760.101","783.627","760.535","819.097","1090.793","1006.163","1567.631","1588.819","3822.29066285","3652.09715266","4663.80113227","4849.17674392","4801.25245683002","4718.594056293099","5906.332298876016","7185.41992454971","6811.48956304869","7299.94671916766","7718.33793156227","7477.11837925225","9773.98286103","9667.08213225602",""
"IMF.STA:MFS_DC(8.0.0)","STP.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","10.766","15.1309","20.1308","30.2861","89.053872","100.034007966123","149.7992669350019","207.2161082060398","263.2347107436751","302.1105703307052","398.7666690126491","567.3157263443281","521.6295907167213","677.0808032977373","646.6313549076622","554.4222952225714","539.4057243279827","610.354796549638","481.8822102419236","438.6551672241468","381.2215824153367","384.3832081810018","316.726293302719","372.2665606190955",""
"IMF.STA:MFS_DC(8.0.0)","RUS.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Russian Federation","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","953700","1367400","1789100","2457300","3374700","4562600","6665900","8523300","10724500","12922500","15875500","18472800","21735300","27099415.5","34278173.8","32750635.9","34764185.5","39574081.9","40614056.6","43480733.3","47738820.85626","","","",""
"IMF.STA:MFS_DC(8.0.0)","MRT.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Mauritania, Islamic Republic of","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","","","","","","","","","","","","3333.8639","4284.3873","4789.6214","5534.664410537","6861.532317866","7999.1768","9660.381554","10512.70904","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","SLB.ODCORP_L_F29_IBM.XDC.A","OBS_VALUE","Solomon Islands","Liabilities, Other Deposits, Included In Broad Money","Domestic currency","Annual","Millions","178.587","194.017","218.474","276.699","354.668","416.946","476.25514659","571.7615758","703.19657722","770.81418618","737.061301","667.873489","744.692387","981.572263","908.206966","1221.342654","1259.950654","1307.160654","1234.374654","1084.611654","1097.667654","1068.229654","1014.64816826","1093.76016826",""
