"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:MFS_DC(8.0.0)","ERI.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Eritrea, The State of","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","2769.80792282043","3130.4409148012","3507.46158730373","3994.14627818936","3126.72563774633","2747.10674820858","2488.24241350141","2898.41250141667","4030.64141294332","5743.76435371052","7017.05717044675","8253.39077980728","8157.7101199","10372.2003227528","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","CAN.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Canada","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","5408.65","4899.535","5288.051","5092.942","6576.969","10228.198","8260.995","11252.023","","","","","","","","","","","","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","CAF.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Central African Republic","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","56159.5300961165","49258.3637628685","41490.3429734915","43838.029035059","50119.1028425216","37338.6057196512","25740.6597453746","24400.0609432253","28663.7467508047","10567.963014045","13326.3145190599","-11407.5434090054","8614.0824617199","51722.9102361265","42224.580563635","53726.801163316","103680.099799034","76266.705631086","90230.784343458","90339.369100899","72330.839580043","15175.349993944","","",""
"IMF.STA:MFS_DC(8.0.0)","COD.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Congo, Democratic Republic of the","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","-167732.424170543","-272876.535249216","-303454.0676905262","-342509.5097292608","-327120.9203336321","-384787.2070570682","-247209.7602893885","-297055.6100889296","-48762.140806026","880888.161444727","849519.075290811","1403481.791923775","1455234.517472381","1572309.001701177","1328913.634025102","1131105.667437269","2514248.92488655","3439302.07672218","5051656.403012054","9314880.656144034","15432372.70544234","13856248.20054756","18330532.98866895","",""
"IMF.STA:MFS_DC(8.0.0)","MWI.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Malawi","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","348666.7633436147","336564.3833620905","433049.7910165696","152457.8718245458","163297.0690836647","-348301.2028311362","-422929.4524733521","-588421.2072504227","-1221073.095426266","-1647874.716005044",""
"IMF.STA:MFS_DC(8.0.0)","GNQ.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Equatorial Guinea, Republic of","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","53586.87540138209","103741.029411305","153012.8981734265","498730.7055881505","1240663.153416398","1573628.172563979","1800337.689716482","2243464.637446719","1552284.390172362","1162529.353904224","1567615.478682371","2284881.9003657","2383935.255337125","1628294.623197787","847930.4009451787","162237.8622315692","79726.7577822528","101999.0938584257","-84607.3449621902","-252442.2438163861","-191135.4941393905","752144.505937321","922931.486287609","",""
"IMF.STA:MFS_DC(8.0.0)","KGZ.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Kyrgyz Republic","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","12293.3368201371","13605.3215614292","16955.9478864677","24953.1496675036","17491.717503545","25293.212777546","49627.3266217326","37848.7253848157","60008.9672273237","72232.0074670257","77308.3351421567","90199.0121122508","105856.841605179","108680.773048125","136206.517540624","138067.266976334","153897.090666734","150690.573393471","165132.279003484","243909.646569019","267647.006520104","292198.270284214","343846.142486232","533832.229194289",""
"IMF.STA:MFS_DC(8.0.0)","LBR.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Liberia","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","","","","","","","-14032.81885790739","-41433.84620180573","-44877.67802040955","21896.4674979496","24764.6387754838","25178.247321311","26316.2922371792","25680.1007227212","26723.2135397375","26150.6917848468","11732.454952762","12378.80686552102","12619.27400440507","12100.1294459095","21592.935997458","16548.731872222","","",""
"IMF.STA:MFS_DC(8.0.0)","CMR.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Cameroon","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","108929.707850828","282790.490631255","242041.11125676","339766.657740799","479286.177441488","1015607.894308275","1503507.846942696","1736278.651964016","1780780.067762676","1849443.484327755","1629623.53235652","1541396.716056971","1552982.228041816","1669823.451075809","2204033.134368553","1718376.203298064","2003994.05897809","2074737.741679936","2354248.360964438","","","","","",""
"IMF.STA:MFS_DC(8.0.0)","AFG.DCORP_NETAL_NFRA.XDC.A","OBS_VALUE","Afghanistan, Islamic Republic of","Net (assets less liabilities), Net foreign assets","Domestic currency","Annual","Millions","","","","","","103826.593510626","147079.553704013","172783.865487518","214828.922326813","248098.785003267","338126.323481637","428038.588436325","472282.591787918","500179.635486138","545987.529788036","582766.040486691","651218.737337799","737860.932263592","790413.85182957","871656.191935557","","","","",""
