"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","PRICE_TYPE","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:ANEA(6.0.1)","TKM.B1GQ.V.XDC.A","OBS_VALUE","Turkmenistan","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","16000000","122000000","1445000000","2070000000","2608000000","3738000000","4867000000","6719000000","8431000000","11071000000","13757000000","16643000000","20732000000","25159000000","46097000000","53683000000","60764000000","79163000000","100218000000","111713000000","124044000000","125299000000","126630000000","132742000000","142667000000","157410000000","159092000000","173170000000","198371000000","219848000000","240363000000",""
"IMF.STA:ANEA(6.0.1)","BLZ.B1GQ.V.XDC.A","OBS_VALUE","Belize","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","","","","","","","","","","","","","","","41606578.8516224","65190580.5286455","62380059.6597579","60509553.3067017","51946076.6510898","33821698.9927124","34590007.2767568","44190790.5604837","55959258.4621624","70605193.6039071","117276208.77732","154811877.177802","188207938.77318","181548744.871052","212079062.378375","212881628.741278","280325147.504715","344496745.977469","358876072.599847","358566015.515301","378039600.793078","421877671.811308","418457042.039865","455833923.489815","533138155.956141","629915973.700242","726433743.566983","748635364.643524","742150081.839444","1329352247.37901","1432494976.27904","1433007259.80247","1567643541.706","1649609450.4709","1785012139.52299","1879934398.67253","1954566452.69149","2119993608.17919","2206091356.28939","2450513919.69162","2526634409.61802","2692317216.10527","2806942054.34574","3060346690.0517","3302642885.0231","3472966177.55957","3232128570.91069","3515599615.734","3524098440.56378","3770437127.69264","3964030451.66525","4277631947.15331","4138876312.63678","4263360807.08455","4365760520.51737","4590373637.27808","4725841559.39241","3776925918.23084","4734087466.35076","5566127101.44773","6218621750.29622","6502727064.62199",""
"IMF.STA:ANEA(6.0.1)","BLZ.B1GQ.Q.XDC.A","OBS_VALUE","Belize","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","","","","","","","","","","","","","","","209968616.726","224344349.066541","236336736.95098","252081155.739468","263327271.464047","277090729.2608","292656164.472955","307960017.068142","328744442.14606","343573663.56429","341808176.207825","373587794.959188","376059548.871201","373587794.959188","389124584.986808","419844885.283216","439954911.573383","462011020.087977","463001362.073143","428041173.401775","454046981.323528","505500649.430355","498328979.741834","534581974.144528","652172861.769782","723005007.365135","834880332.809785","1091681941.15027","1073973925.24848","1999301748.92323","2121431140.0812","2095022406.46834","2227064296.01336","2221622474.2516","2280170874.34674","2354256882.45925","2500687259.62354","2682937429.43558","2865709465.47628","3112654654.43638","3278011308.67659","3445159229.3305","3540853204.1235","3889803825.50189","3688197501.77867","3844428933.53429","3984994344.46993","3988859287.96556","3768747082.40756","4054167179.14735","4081861877.579","4277631947.15331","4171607185.09043","4128182918.86508","4019742498.13337","4367023498.88743","4536755073.62308","3800862485.9766","4528854707.0369","4944617444.59945","5375402522.26964","5447261372.85623",""
"IMF.STA:ANEA(6.0.1)","GUY.B1GQ.V.XDC.A","OBS_VALUE","Guyana","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","476412000000","552603000000","616029000000","645637000000","699064000000","753107000000","830326187500","856042312500","852153000000","883787062500","925677000000","980498000000","994471937500","1078728875000","1140757000000","1676624375000","3068783750000","3527508000000","5142175000000",""
"IMF.STA:ANEA(6.0.1)","DZA.B1GQ.Q.XDC.A","OBS_VALUE","Algeria","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","1411573378058.03","1427307306055.69","1476757516349.71","1353132461946.91","1425059651025.61","1541941568944.61","1625107547354.34","1744237034606.65","1710521009400.61","1885844100521.06","2029698650071.99","2054423704418.04","2265710089436","2470253495466.82","2656814454151.93","2901243405774.57","2744576028087.42","2596368097716.8","2674259268972.82","2845411879831.69","2999064035525.58","3167011541312.2","3344364230935.22","3337675516508.83","3314311834410.9","3251339991163.46","3407404246577.05","3434663480549.66","3393447518783.07","3447742679083.6","3375254259659.62","3344876971322.69","3473577726937.41","3605573680561.03","3645234991047.2","3831051342722.32","3953644985689.43","4103883495145.63","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:ANEA(6.0.1)","DZA.B1GQ.V.XDC.A","OBS_VALUE","Algeria","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","4600000000","5300000000","","","","","","","","","","","11745492185.0588","18835015189.2998","20301926107.2461","22391649916.255","21871291688.3253","24554118862.9563","28321510602.1891","31819092473.8645","36405621813.7471","36639655133.9452","41872071502.3228","47847994636.0272","50723678921.0034","60953223657.4971","72356691942.9647","87236850729.8851","104877214365.107","128217238011.077","162500000000","191500000000","207600000000","233700000000","263900000000","291600000000","296600000000","312700000000.001","347700000000","422043000000","554400000000","862132000000","1074695000000","1189724000000","1487400000000","2004990000000","2570000000000","2780200000000","2830490700000","3248197500000","4123500000000","4587607000000","4901720000000","5687158000000","6623355000000","7843981000000","8941655000000","9872971000000","11649694000000","10920163000000","13224716000000","15924670000000","17611810000000","18231035000000","19253765000000","18879025000000","19783349000000","21071656000000","22683845000000","23090099000000","20902124000000","25153206000000","32031460000000","33678708000000","36103525000000",""
"IMF.STA:ANEA(6.0.1)","GUY.B1GQ.Q.XDC.A","OBS_VALUE","Guyana","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637063000000","682876000000","694862000000","719957000000","749752000000","788711000000","830327062500","860661375000","875175562500","881191500000","914742750000","948903750000","991044375000","1044093312500","1498061125000","1798572500000","2937691000000","3930484000000","5652795000000",""
"IMF.STA:ANEA(6.0.1)","BEN.B1GQ.Q.XDC.A","OBS_VALUE","Benin","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","Units","","","","","","","","","","","","","991383000000","1105130000000","1192300000000","1252770000000","1303380000000","1320260000000","1359630000000","1387750000000","1415870000000","1443430000000","1572360000000","1608270000000","1487020000000","1552010000000","1618300000000","1710170000000","1758140000000","1844580000000","","","","","","","","","","","","","","","","","","","","3473490000000","3676950000000","3873050000000","4052880000000","4192440000000","4378160000000","4453160000000","4628780000000","4905880000000","5146100000000","5265450000000","5376760000000","5536120000000","5802470000000","6219750000000","6615190000000","6732810000000","6957670000000","7352280000000","7844680000000","8383270000000","8705900000000","9328870000000","9912230000000","10541900000000","11327600000000",""
"IMF.STA:ANEA(6.0.1)","ABW.B1GQ.V.XDC.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:ANEA(6.0.1)","SMR.B1GQ.Q.XDC.A","OBS_VALUE","San Marino, Republic of","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2006510149.36127","2039629986.76476","1778866466.9413","1696177272.89059","1535656460.94169","1420178627.86153","1377202326.84677","1364207206.64422","1279300507","1310763314.77841","1318659107.19929","1330127819.10349","1357604071.54125","1267351763.90043","1443485644.76748","1557498513.47165","1563728507.2385","",""
"IMF.STA:ANEA(6.0.1)","NER.B1GQ.V.XDC.A","OBS_VALUE","Niger","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2418864000000","2596972000000","2762961000000","3247835000000","3403683000000","3779678000000","4058432000000","4679848000000","5013245000000","5377790000000","5725216000000","6162425000000","6494707270906","7114526296880","7567896263765","7910954533133","8270826124065","9627015353100","10202000000000","12051755275812.9",""
"IMF.STA:ANEA(6.0.1)","MWI.B1GQ.V.XDC.A","OBS_VALUE","Malawi","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2454000000","2705000000","3041000000","3509000000","4169000000","4749000000","5366000000","6260000000","8345000000","10253000000","11522000000","15082000000","15832000000","22259000000","25594000000","52148000000","85257000000","106928000000","132810000000","191167000000","253471000000","301640000000","377436000000","440249000000","533018000000","609565000000","765649000000","873554000000","1052790000000","1230570000000","1474650000000","1763870000000","2114440000000","2831660000000","3618120000000","4503570000000","5552070000000","6531235000000","7234893000000","8239620000000","8821437000000","9975538000000","11795680000000","15516510000000","20321895000000",""
"IMF.STA:ANEA(6.0.1)","NER.B1GQ.Q.XDC.A","OBS_VALUE","Niger","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3353536000000","3521972000000","3458677000000","3808015000000","3831343000000","4163902000000","4306464000000","4840621000000","5087562000000","5460682000000","5725216000000","6053895000000","6356672088188","6815038584241","7219946938749","7476271586293","7579976855425","8481981052200","8694030578500","",""
"IMF.STA:ANEA(6.0.1)","LBN.B1GQ.V.XDC.A","OBS_VALUE","Lebanon","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31898440698031","32407234772161","33199235101216","37427237684577","43896766029220","53364871264898","57954189866268","60190000000000","66352000000000","70654000000000","72462000000000","75213000000000","76307000000000","79717000000000","83349000000000","80359000000000","91670000000000","254763000000000","651204000000000","2760645000000000","3400123578435260",""
"IMF.STA:ANEA(6.0.1)","LBR.B1GQ.V.XDC.A","OBS_VALUE","Liberia","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166454666666.667","198120000000","226483333333.333","257725333333.333","261620000000","266942666666.667","309048666666.667","376897522500","472627200000","578626766666.667","578768682500","580218998333.333","707156446079.764","848618967443.326","975595146764.015",""
"IMF.STA:ANEA(6.0.1)","VCT.B1GQ.V.XDC.A","OBS_VALUE","St. Vincent and the Grenadines","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1155450000","1247590000","1316960000","1374540000","1484730000","1565860000","1737450000","1926710000","1978190000","1928610000","1945210000","1927250000","1971080000","2064910000","2081430000","2123700000","2198620000","2278910000","2387690000","2459070000","2346600000","2355010000","2609530000","2878100000","3130494904.67938",""
"IMF.STA:ANEA(6.0.1)","MRT.B1GQ.V.XDC.A","OBS_VALUE","Mauritania, Islamic Republic of","Gross domestic product (GDP)","Current prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38304841326.6219","41607896189.568","42516905591.92","44634477756.2896","48289612522.1523","53951335467.7495","62684948378.4811","77980678608.4447","105279845907.169","112387257997.262","124019067745.237","123694877446.379","155297484382.802","190166085477.57","199572130466.114","217184507993.155","199572600000","200220600000","225473200000","243406900000","266637600000","289665500000","307210500000","332595400000","353024000000","391413000000","432150000000",""
"IMF.STA:ANEA(6.0.1)","MWI.B1GQ.Q.XDC.A","OBS_VALUE","Malawi","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1801660000000","1707160000000","1750120000000","1814760000000","1912260000000","1999670000000","1995380000000","2027810000000","2092240000000","2120370000000","2241070000000","2436720000000","2258030000000","2476880000000","2221430000000","2528650000000","2780980000000","2964170000000","2995620000000","3101700000000","3125750000000","2998350000000","3051140000000","3225220000000","3400050000000","3511190000000","3676210000000","4029130000000","4336940000000","4698130000000","5021080000000","5264810000000","5364090000000","5643020000000","5964670000000","6140630000000","6280020000000","6531224000000","6815563000000","7205199000000","7262379000000","7593421000000","7663364000000","7812474000000","7948941000000",""
"IMF.STA:ANEA(6.0.1)","KWT.B1GQ.Q.XDC.A","OBS_VALUE","Kuwait","Gross domestic product (GDP)","Constant prices","Domestic currency","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33079000000","36264000000","38667000000","39111400000","39307000000","39540000000","40697400000","38779600000","39723500000","40745241869.8129","38782406866.2145","39431095712.7328","42096112184.7458","41394283319.8322","40335000000",""
